,Hauptkategorie,Subkategorie_1,Subkategorie_2,Ist 2018,Soll 2019,Soll 2020,Ist 2021,Ist 2022,Ist 2023,Soll 2024,Soll 2025,Plan 2026,Plan 2027,Plan 2028,Produktgruppe,Subprodukt,Ist 2023 %,Percentagechange Ist 2018 vs. Ist 2023,Ist 2018 %
0,1 Chancengerechte Förderung der Schüler:innen,Die Schüler:innen erwerben ihre Fähigkeiten grundsätzlich in der Regelklasse und erfahren in ihrer Förderung Chancengerechtigkeit. (W) ,Anteil (in %) Schüler:innen in der Regelklasse,95.0,95.0,95.0,95.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,Volksschule (510),Volksschule (510),-1.0526315789473684,-1.1,0
1,1 Chancengerechte Förderung der Schüler:innen,"Anteil (in %) fremdsprachiger (Definition gemäss Bildungsstatistik) Schüler:innen in den Abteilungen A, B, C der Sekundarstufe (1)",Anteil (in %) A,26.0,52.0,42.0,31.0,29.0,30.0,30.0,30.0,30.0,30.0,30.0,Volksschule (510),Volksschule (510),15.384615384615385,15.4,0
2,1 Chancengerechte Förderung der Schüler:innen,"Anteil (in %) fremdsprachiger (Definition gemäss Bildungsstatistik) Schüler:innen in den Abteilungen A, B, C der Sekundarstufe (1)",Anteil (in %)  B,56.0,52.0,74.0,62.0,58.0,57.0,60.0,60.0,60.0,60.0,60.0,Volksschule (510),Volksschule (510),1.7857142857142856,1.8,0
3,1 Chancengerechte Förderung der Schüler:innen,"Anteil (in %) fremdsprachiger (Definition gemäss Bildungsstatistik) Schüler:innen in den Abteilungen A, B, C der Sekundarstufe (1)",Anteil (in %) C,73.0,52.0,88.0,78.0,72.0,76.0,75.0,75.0,75.0,75.0,75.0,Volksschule (510),Volksschule (510),4.10958904109589,4.1,0
4,1 Chancengerechte Förderung der Schüler:innen,Die Leistungen der die Lehrpersonen unterstützenden Fachleute und die Weiterbildungen stellen die Integrationsfähigkeit (Ermöglichung zum Verbleib in der Regelklasse) der Schule und den individualisierenden Unterricht sicher. (L) ,Anteil (in %) schulpsychologische Arbeit in den Schulen (vor Ort) (7),16.0,15.0,15.0,15.0,14.0,11.0,15.0,15.0,15.0,15.0,15.0,Volksschule (510),Volksschule (510),-31.25,-31.2,0
5,1 Chancengerechte Förderung der Schüler:innen,Die Leistungen der die Lehrpersonen unterstützenden Fachleute und die Weiterbildungen stellen die Integrationsfähigkeit (Ermöglichung zum Verbleib in der Regelklasse) der Schule und den individualisierenden Unterricht sicher. (L) ,Anzahl Schüler:innen pro Schulsozialarbeiter/innen-Stelle auf der Primarstufe (8),1482.0,1357.0,1266.0,768.0,696.0,705.0,690.0,690.0,690.0,600.0,600.0,Volksschule (510),Volksschule (510),-52.42914979757085,-52.4,0
6,1 Chancengerechte Förderung der Schüler:innen,Die Leistungen der die Lehrpersonen unterstützenden Fachleute und die Weiterbildungen stellen die Integrationsfähigkeit (Ermöglichung zum Verbleib in der Regelklasse) der Schule und den individualisierenden Unterricht sicher. (L) ,Anzahl Schüler:innen pro Schulsozialarbeiter/innen-Stelle auf der Sekundarstufe (8),644.0,614.0,697.0,768.0,696.0,705.0,690.0,690.0,690.0,600.0,600.0,Volksschule (510),Volksschule (510),9.472049689440993,9.5,0
7,1 Chancengerechte Förderung der Schüler:innen,Die Leistungen der die Lehrpersonen unterstützenden Fachleute und die Weiterbildungen stellen die Integrationsfähigkeit (Ermöglichung zum Verbleib in der Regelklasse) der Schule und den individualisierenden Unterricht sicher. (L) ,"Anteil (in %) Lehrpersonen für integrative Förderung (IF), welche die Ausbildung vollständig absolviert haben (2) (Stichtag 1. August)",51.0,45.0,45.0,45.0,52.0,56.0,50.0,50.0,50.0,50.0,50.0,Volksschule (510),Volksschule (510),9.803921568627452,9.8,0
8,1 Chancengerechte Förderung der Schüler:innen,Die Leistungen der die Lehrpersonen unterstützenden Fachleute und die Weiterbildungen stellen die Integrationsfähigkeit (Ermöglichung zum Verbleib in der Regelklasse) der Schule und den individualisierenden Unterricht sicher. (L) ,"Anteil (in %) Lehrpersonen für Deutsch als Zweitsprache (DaZ), welche die Ausbildung vollständig absolviert haben (2) (Stichtag 1. August)",57.0,55.0,55.0,58.0,49.0,49.0,60.0,60.0,60.0,60.0,60.0,Volksschule (510),Volksschule (510),-14.035087719298245,-14.0,0
9,2 Kompetenzen und Befähigung der Schüler:innen ,"Die Schüler:innen erreichen eine hohe Selbst-, Sozial- und Sachkompetenz. (W)",Anteil (in %) Schüler:innen in der 5. Klasse Primarstufe mit positiver Verhaltensbeurteilung (Stichprobe Erhebung aus Zeugnissen) ,72.0,90.0,85.0,81.0,84.0,86.0,85.0,85.0,85.0,85.0,85.0,Volksschule (510),Volksschule (510),19.444444444444446,19.4,0
